List of Rectangle Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Lengths: 4 x 2
Number of Blockers | Ratio
25 | 1.0
26 | 1.0981071471454358
27 | 1.0
28 | 1.0938891639472603
29 | 1.0
30 | 1.0903736246507478
31 | 1.0
32 | 1.087444004800272
33 | 1.0
34 | 1.0850123522317363
35 | 1.0
36 | 1.0830117117977718
37 | 1.0
38 | 1.0813909568434097
39 | 1.0
40 | 1.080111207521525
41 | 1.0
42 | 1.0791433275519429
43 | 1.0
44 | 1.078466177694991
45 | 1.0
46 | 1.0780654200611266
47 | 1.0
48 | 1.0779327421325695


Side Lengths: 12 x 10
Number of Blockers | Ratio
1 | 1.0
2 | 1.7131147540983607
3 | 1.0
4 | 1.4331012131563965
5 | 1.0
6 | 1.3067781367269111
7 | 1.0
8 | 1.2391327402352221
9 | 1.0
10 | 1.1972294853562786
11 | 1.0
12 | 1.1687959417692477
13 | 1.0
14 | 1.1482847643423542
15 | 1.0
16 | 1.1328280180180443
17 | 1.0
18 | 1.1207947460502934
19 | 1.0
20 | 1.1111893703344686
21 | 1.0
22 | 1.1033699889373316
23 | 1.0
24 | 1.096904327832068
25 | 1.0
26 | 1.0914907979621695
27 | 1.0
28 | 1.086912740286098
29 | 1.0
30 | 1.0830106514221431
31 | 1.0
32 | 1.0796646564592771
33 | 1.0
34 | 1.0767830767655497
35 | 1.0
36 | 1.0742947584876394
37 | 1.0
38 | 1.0721437965527083
39 | 1.0
40 | 1.070285827929321
41 | 1.0
42 | 1.0686853788742818
43 | 1.0
44 | 1.0673139362455792
45 | 1.0
46 | 1.0661485266854491
47 | 1.0
48 | 1.0651706590981531
49 | 1.0
50 | 1.0643655320441199
51 | 1.0
52 | 1.063721438147434
53 | 1.0
54 | 1.0632293181634818
55 | 1.0
56 | 1.0628824315289438
57 | 1.0
58 | 1.0626761202472688
59 | 1.0
60 | 1.062607650287239


Side Lengths: 14 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.6
3 | 1.0
4 | 1.4615384615384615
5 | 1.0
6 | 1.359715429079591
7 | 1.0
8 | 1.3046953046953047
9 | 1.0
10 | 1.2740580553938285
11 | 1.0
12 | 1.2584280828440588
13 | 1.0
14 | 1.2535643923217983


Side Lengths: 14 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.6724137931034482
3 | 1.0
4 | 1.4445964432284542
5 | 1.0
6 | 1.3240199045121377
7 | 1.0
8 | 1.2586951090612088
9 | 1.0
10 | 1.2186431571180336
11 | 1.0
12 | 1.1920135574483302
13 | 1.0
14 | 1.1733723662633573
15 | 1.0
16 | 1.1599139583416105
17 | 1.0
18 | 1.150055972184557
19 | 1.0
20 | 1.1428502312494653
21 | 1.0
22 | 1.1377066279773744
23 | 1.0
24 | 1.1342535624117782
25 | 1.0
26 | 1.132263555826208
27 | 1.0
28 | 1.1316132576840756


Side Lengths: 14 x 6
Number of Blockers | Ratio
1 | 1.0
2 | 1.697674418604651
3 | 1.0
4 | 1.4375896700143471
5 | 1.0
6 | 1.3130690182160218
7 | 1.0
8 | 1.2461155289350205
9 | 1.0
10 | 1.2047473274954694
11 | 1.0
12 | 1.1768107895277615
13 | 1.0
14 | 1.1567909432785508
15 | 1.0
16 | 1.1418356507329968
17 | 1.0
18 | 1.130324024346385
19 | 1.0
20 | 1.121268159196955
21 | 1.0
22 | 1.1140328151955246
23 | 1.0
24 | 1.1081920914951466
25 | 1.0
26 | 1.1034509243334583
27 | 1.0
28 | 1.0995996499822205
29 | 1.0
30 | 1.096486499725894
31 | 1.0
32 | 1.0940003352997978
33 | 1.0
34 | 1.092059500615481
35 | 1.0
36 | 1.0906044789683542
37 | 1.0
38 | 1.0895930145498527
39 | 1.0
40 | 1.0889969004010576
41 | 1.0
42 | 1.0887999540579483


Side Lengths: 14 x 8
Number of Blockers | Ratio
1 | 1.0
2 | 1.7105263157894737
3 | 1.0
4 | 1.4338634111181188
5 | 1.0
6 | 1.3078114921278803
7 | 1.0
8 | 1.2402687753865367
9 | 1.0
10 | 1.1984435484806286
11 | 1.0
12 | 1.1700806080880966
13 | 1.0
14 | 1.149637545858251
15 | 1.0
16 | 1.1342488038072196
17 | 1.0
18 | 1.122284848376408
19 | 1.0
20 | 1.1127510862976258
21 | 1.0
22 | 1.1050063816156674
23 | 1.0
24 | 1.0986191173392028
25 | 1.0
26 | 1.0932883137386604
27 | 1.0
28 | 1.088797911103962
29 | 1.0
30 | 1.0849890211597673
31 | 1.0
32 | 1.0817424195560887
33 | 1.0
34 | 1.0789671304703445
35 | 1.0
36 | 1.076592770937112
37 | 1.0
38 | 1.074564291004342
39 | 1.0
40 | 1.0728382844583269
41 | 1.0
42 | 1.0713803557143342
43 | 1.0
44 | 1.0701632138262158
45 | 1.0
46 | 1.0691652783837753
47 | 1.0
48 | 1.0683696538591314
49 | 1.0
50 | 1.0677633754178137
51 | 1.0
52 | 1.067336860045873
53 | 1.0
54 | 1.0670835178863216
55 | 1.0
56 | 1.0669994935223468


Side Lengths: 14 x 10
Number of Blockers | Ratio
1 | 1.0
2 | 1.7183098591549295
3 | 1.0
4 | 1.4315603063469315
5 | 1.0
6 | 1.304729868568254
7 | 1.0
8 | 1.2368929389243715
9 | 1.0
10 | 1.1948458552751113
11 | 1.0
12 | 1.1662843552614084
13 | 1.0
14 | 1.1456515903207654
15 | 1.0
16 | 1.1300750483089348
17 | 1.0
18 | 1.1179210995737958
19 | 1.0
20 | 1.1081923923856118
21 | 1.0
22 | 1.100245716430306
23 | 1.0
24 | 1.0936477386123227
25 | 1.0
26 | 1.0880959421648526
27 | 1.0
28 | 1.0833728017680497
29 | 1.0
30 | 1.079317964275439
31 | 1.0
32 | 1.0758106901063773
33 | 1.0
34 | 1.0727583969839034
35 | 1.0
36 | 1.0700889681998458
37 | 1.0
38 | 1.0677454580670176
39 | 1.0
40 | 1.065682366881552
41 | 1.0
42 | 1.0638629690638903
43 | 1.0
44 | 1.0622573636809103
45 | 1.0
46 | 1.0608410303356508
47 | 1.0
48 | 1.059593745008116
49 | 1.0
50 | 1.0584987565369162
51 | 1.0
52 | 1.0575421547527926
53 | 1.0
54 | 1.056712381602866
55 | 1.0
56 | 1.0559998504773407
57 | 1.0
58 | 1.0553966485780146
59 | 1.0
60 | 1.0548963039579433
61 | 1.0
62 | 1.0544936037278263
63 | 1.0
64 | 1.0541844534711582
65 | 1.0
66 | 1.0539657705434606
67 | 1.0
68 | 1.0538354059299204
69 | 1.0
70 | 1.0537920908961544


Side Lengths: 14 x 12
Number of Blockers | Ratio
1 | 1.0
2 | 1.723529411764706
3 | 1.0
4 | 1.429997744569921
5 | 1.0
6 | 1.302706407293246
7 | 1.0
8 | 1.2346953015412467
9 | 1.0
10 | 1.192519819588385
